Datetime,Open,High,Low,Close,Volume,Dividends,Stock Splits
2025-06-13 09:30:00-04:00,142.47999572753906,143.38999938964844,142.39999389648438,143.3699951171875,12190762,0.0,0.0
2025-06-13 09:31:00-04:00,143.37840270996094,143.5800018310547,143.14999389648438,143.34500122070312,1570905,0.0,0.0
2025-06-13 09:32:00-04:00,143.3350067138672,143.44000244140625,142.92999267578125,143.29010009765625,1094680,0.0,0.0
2025-06-13 09:33:00-04:00,143.3000030517578,143.57000732421875,143.19000244140625,143.22500610351562,1109519,0.0,0.0
2025-06-13 09:34:00-04:00,143.22500610351562,143.26499938964844,143.0583038330078,143.19000244140625,698299,0.0,0.0
2025-06-13 09:35:00-04:00,143.19000244140625,143.19000244140625,142.88479614257812,142.98980712890625,1043504,0.0,0.0
2025-06-13 09:36:00-04:00,142.97999572753906,143.01499938964844,142.8300018310547,142.89999389648438,892762,0.0,0.0
2025-06-13 09:37:00-04:00,142.88999938964844,143.0800018310547,142.6699981689453,143.0050048828125,1069869,0.0,0.0
2025-06-13 09:38:00-04:00,143.0084991455078,143.125,142.9499969482422,143.02499389648438,835016,0.0,0.0
2025-06-13 09:39:00-04:00,143.02499389648438,143.13999938964844,142.97000122070312,142.99000549316406,672510,0.0,0.0
2025-06-13 09:40:00-04:00,142.99000549316406,143.02000427246094,142.72000122070312,142.86500549316406,806814,0.0,0.0
2025-06-13 09:41:00-04:00,142.86000061035156,143.00999450683594,142.77499389648438,142.94180297851562,699345,0.0,0.0
2025-06-13 09:42:00-04:00,142.94500732421875,143.00999450683594,142.83999633789062,142.91000366210938,483433,0.0,0.0
2025-06-13 09:43:00-04:00,142.9199981689453,143.02000427246094,142.8300018310547,143.0,593827,0.0,0.0
2025-06-13 09:44:00-04:00,142.9949951171875,143.27999877929688,142.9250030517578,143.13999938964844,743539,0.0,0.0
2025-06-13 09:45:00-04:00,143.14999389648438,143.1649932861328,142.83999633789062,142.91819763183594,700395,0.0,0.0
2025-06-13 09:46:00-04:00,142.91000366210938,143.01499938964844,142.82000732421875,142.97000122070312,504975,0.0,0.0
2025-06-13 09:47:00-04:00,142.97999572753906,143.1300048828125,142.89999389648438,142.92999267578125,642384,0.0,0.0
2025-06-13 09:48:00-04:00,142.9199981689453,143.00999450683594,142.8699951171875,142.97999572753906,504767,0.0,0.0
2025-06-13 09:49:00-04:00,142.97999572753906,143.02999877929688,142.8300018310547,143.0,450870,0.0,0.0
2025-06-13 09:50:00-04:00,142.9949951171875,143.38999938964844,142.94000244140625,143.3300018310547,745244,0.0,0.0
2025-06-13 09:51:00-04:00,143.32009887695312,143.48989868164062,143.08999633789062,143.11000061035156,867380,0.0,0.0
2025-06-13 09:52:00-04:00,143.10350036621094,143.25,143.0500030517578,143.168701171875,497143,0.0,0.0
2025-06-13 09:53:00-04:00,143.1649932861328,143.27000427246094,143.15499877929688,143.1649932861328,403391,0.0,0.0
2025-06-13 09:54:00-04:00,143.1750030517578,143.1750030517578,142.92999267578125,142.93890380859375,557730,0.0,0.0
2025-06-13 09:55:00-04:00,142.93499755859375,143.0500030517578,142.8300018310547,143.0449981689453,622105,0.0,0.0
2025-06-13 09:56:00-04:00,143.0399932861328,143.0500030517578,142.875,142.89999389648438,469523,0.0,0.0
2025-06-13 09:57:00-04:00,142.88999938964844,142.97999572753906,142.8699951171875,142.93499755859375,348820,0.0,0.0
2025-06-13 09:58:00-04:00,142.92999267578125,142.9604034423828,142.72999572753906,142.82000732421875,603277,0.0,0.0
2025-06-13 09:59:00-04:00,142.8249969482422,142.94000244140625,142.66000366210938,142.91799926757812,591797,0.0,0.0
2025-06-13 10:00:00-04:00,142.92999267578125,143.36019897460938,142.89500427246094,142.97000122070312,972692,0.0,0.0
2025-06-13 10:01:00-04:00,143.0,143.0749969482422,142.86000061035156,142.96499633789062,455082,0.0,0.0
2025-06-13 10:02:00-04:00,142.95069885253906,142.99000549316406,142.82009887695312,142.9199981689453,320008,0.0,0.0
2025-06-13 10:03:00-04:00,142.9199981689453,143.0500030517578,142.91000366210938,142.97999572753906,368746,0.0,0.0
2025-06-13 10:04:00-04:00,142.97999572753906,142.97999572753906,142.7100067138672,142.83999633789062,542533,0.0,0.0
2025-06-13 10:05:00-04:00,142.8300018310547,142.8800048828125,142.67030334472656,142.6999969482422,490304,0.0,0.0
2025-06-13 10:06:00-04:00,142.69500732421875,142.8800048828125,142.66000366210938,142.80999755859375,429003,0.0,0.0
2025-06-13 10:07:00-04:00,142.7899932861328,142.8300018310547,142.67999267578125,142.8096923828125,404455,0.0,0.0
2025-06-13 10:08:00-04:00,142.8000030517578,142.9499969482422,142.74009704589844,142.7449951171875,463890,0.0,0.0
2025-06-13 10:09:00-04:00,142.74000549316406,142.77999877929688,142.57009887695312,142.5988006591797,633727,0.0,0.0
2025-06-13 10:10:00-04:00,142.59500122070312,142.61000061035156,142.3300018310547,142.37159729003906,1044702,0.0,0.0
2025-06-13 10:11:00-04:00,142.3699951171875,142.44000244140625,142.27999877929688,142.41990661621094,710527,0.0,0.0
2025-06-13 10:12:00-04:00,142.4149932861328,142.4197998046875,142.1999969482422,142.32009887695312,633874,0.0,0.0
2025-06-13 10:13:00-04:00,142.30999755859375,142.41000366210938,142.25,142.3300018310547,581064,0.0,0.0
2025-06-13 10:14:00-04:00,142.30999755859375,142.4051971435547,142.25999450683594,142.31500244140625,400227,0.0,0.0
2025-06-13 10:15:00-04:00,142.3101043701172,142.33999633789062,142.19000244140625,142.1999969482422,598628,0.0,0.0
2025-06-13 10:16:00-04:00,142.19000244140625,142.21820068359375,141.97000122070312,142.02890014648438,1205450,0.0,0.0
2025-06-13 10:17:00-04:00,142.02499389648438,142.16000366210938,141.97000122070312,142.11500549316406,697006,0.0,0.0
2025-06-13 10:18:00-04:00,142.11000061035156,142.24989318847656,142.0800018310547,142.2100067138672,519364,0.0,0.0
2025-06-13 10:19:00-04:00,142.2050018310547,142.22999572753906,142.0850067138672,142.10870361328125,302805,0.0,0.0
2025-06-13 10:20:00-04:00,142.10499572753906,142.1699981689453,141.8800048828125,141.9199981689453,625009,0.0,0.0
2025-06-13 10:21:00-04:00,141.90499877929688,141.92999267578125,141.61349487304688,141.82870483398438,1065277,0.0,0.0
2025-06-13 10:22:00-04:00,141.82000732421875,141.82000732421875,141.6699981689453,141.7050018310547,536414,0.0,0.0
2025-06-13 10:23:00-04:00,141.7050018310547,141.94000244140625,141.6699981689453,141.8782958984375,572628,0.0,0.0
2025-06-13 10:24:00-04:00,141.8800048828125,141.99000549316406,141.72129821777344,141.7884979248047,536525,0.0,0.0
2025-06-13 10:25:00-04:00,141.77999877929688,141.83999633789062,141.69000244140625,141.7899932861328,466172,0.0,0.0
2025-06-13 10:26:00-04:00,141.7899932861328,141.82000732421875,141.5399932861328,141.56500244140625,608209,0.0,0.0
2025-06-13 10:27:00-04:00,141.55999755859375,141.6199951171875,141.39500427246094,141.52999877929688,1040680,0.0,0.0
2025-06-13 10:28:00-04:00,141.52000427246094,141.52000427246094,141.10000610351562,141.1446990966797,926396,0.0,0.0
2025-06-13 10:29:00-04:00,141.1300048828125,141.24000549316406,141.0749969482422,141.1999969482422,706180,0.0,0.0
2025-06-13 10:30:00-04:00,141.1999969482422,141.32000732421875,141.16000366210938,141.21499633789062,646904,0.0,0.0
2025-06-13 10:31:00-04:00,141.2097930908203,141.33999633789062,141.0800018310547,141.32879638671875,707083,0.0,0.0
2025-06-13 10:32:00-04:00,141.32000732421875,141.55999755859375,141.27000427246094,141.52000427246094,789366,0.0,0.0
2025-06-13 10:33:00-04:00,141.5500030517578,141.67999267578125,141.5399932861328,141.61000061035156,741023,0.0,0.0
2025-06-13 10:34:00-04:00,141.60499572753906,141.72000122070312,141.50999450683594,141.52499389648438,507019,0.0,0.0
2025-06-13 10:35:00-04:00,141.52499389648438,141.75,141.50999450683594,141.6898956298828,630811,0.0,0.0
2025-06-13 10:36:00-04:00,141.68499755859375,141.8800048828125,141.6750030517578,141.875,516756,0.0,0.0
2025-06-13 10:37:00-04:00,141.8699951171875,141.99000549316406,141.8000030517578,141.9550018310547,658639,0.0,0.0
2025-06-13 10:38:00-04:00,141.9600067138672,142.02000427246094,141.86500549316406,141.91000366210938,571383,0.0,0.0
2025-06-13 10:39:00-04:00,141.91000366210938,142.11000061035156,141.91000366210938,142.0034942626953,564886,0.0,0.0
2025-06-13 10:40:00-04:00,142.0050048828125,142.07000732421875,141.9199981689453,142.0050048828125,391853,0.0,0.0
2025-06-13 10:41:00-04:00,142.00999450683594,142.19500732421875,141.9550018310547,142.16119384765625,510908,0.0,0.0
2025-06-13 10:42:00-04:00,142.1699981689453,142.2899932861328,142.14999389648438,142.1699981689453,557881,0.0,0.0
2025-06-13 10:43:00-04:00,142.1750030517578,142.18499755859375,142.0399932861328,142.15499877929688,433893,0.0,0.0
2025-06-13 10:44:00-04:00,142.14999389648438,142.2299041748047,142.05999755859375,142.08999633789062,426024,0.0,0.0
2025-06-13 10:45:00-04:00,142.09500122070312,142.16000366210938,142.0500030517578,142.10009765625,344093,0.0,0.0
2025-06-13 10:46:00-04:00,142.08999633789062,142.2270050048828,142.0500030517578,142.0850067138672,377523,0.0,0.0
2025-06-13 10:47:00-04:00,142.08009338378906,142.10499572753906,141.94000244140625,141.95989990234375,449990,0.0,0.0
2025-06-13 10:48:00-04:00,141.9499969482422,141.9600067138672,141.8000030517578,141.82000732421875,406791,0.0,0.0
2025-06-13 10:49:00-04:00,141.8249969482422,141.88999938964844,141.73190307617188,141.7550048828125,351716,0.0,0.0
