Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2023-06-26 00:00:00-04:00,42.434883556150716,42.73769860364241,40.07533559160771,40.60700988769531,594322000,0.0,0.0
2023-06-27 00:00:00-04:00,40.77390538486543,41.91420242654618,40.42312334973698,41.850242614746094,462175000,0.0,0.0
2023-06-28 00:00:00-04:00,40.63499328216684,41.819265860222536,40.493082322423774,41.091712951660156,582639000,0.0,0.0
2023-06-29 00:00:00-04:00,41.5324415126294,41.57441550067201,40.575030476017865,40.79689407348633,380514000,0.0,0.0
2023-06-30 00:00:00-04:00,41.65436660593907,42.52383047806392,41.47547583911563,42.27598190307617,501148000,0.0,0.0
2023-07-03 00:00:00-04:00,42.49084942883537,42.87161562417635,42.17604453301068,42.38691329956055,198209000,0.0,0.0
2023-07-05 00:00:00-04:00,42.1090863839525,43.150445397826026,42.05911789513359,42.290977478027344,323618000,0.0,0.0
2023-07-06 00:00:00-04:00,41.81826310309718,42.15305612625902,41.320568329955776,42.07710266113281,303582000,0.0,0.0
2023-07-07 00:00:00-04:00,42.29597160095548,43.187425147164426,42.154060635419896,42.47686004638672,355881000,0.0,0.0
2023-07-10 00:00:00-04:00,42.630764348967396,42.78466895683642,41.62338110912279,42.154056549072266,353908000,0.0,0.0
2023-07-11 00:00:00-04:00,42.454871163979334,42.73170122282659,42.04112814202054,42.3789176940918,298244000,0.0,0.0
2023-07-12 00:00:00-04:00,43.006534967275904,43.907980649939184,42.750691892860374,43.875,481277000,0.0,0.0
2023-07-13 00:00:00-04:00,44.490624263163284,46.12661477975552,44.46463927645511,45.948726654052734,478204000,0.0,0.0
2023-07-14 00:00:00-04:00,46.554357293058416,48.058432968220316,45.032294942623565,45.441043853759766,772075000,0.0,0.0
2023-07-17 00:00:00-04:00,46.2605351552228,46.4674047762211,45.23416630159501,46.43242645263672,510488000,0.0,0.0
2023-07-18 00:00:00-04:00,46.67227502567038,47.86653969146567,45.705870760466034,47.464786529541016,569164000,0.0,0.0
2023-07-19 00:00:00-04:00,47.434809134176305,47.788591506668375,46.713253060545895,47.04804611206055,427502000,0.0,0.0
2023-07-20 00:00:00-04:00,46.47839297675557,47.05803804198633,45.03428211792996,45.492000579833984,537865000,0.0,0.0
2023-07-21 00:00:00-04:00,45.759840286956276,45.83779524774896,44.0728786185387,44.2817497253418,963769000,0.0,0.0
2023-07-24 00:00:00-04:00,44.70348668350463,45.081256355723035,44.01291361233455,44.58456039428711,382516000,0.0,0.0
2023-07-25 00:00:00-04:00,44.91336055906323,46.154593423869336,44.89537007467214,45.65090560913086,348081000,0.0,0.0
2023-07-26 00:00:00-04:00,45.99269199523918,46.02467380620523,44.60254877026803,45.424041748046875,364237000,0.0,0.0
2023-07-27 00:00:00-04:00,46.49039542528463,47.365856204169674,45.72186729424945,45.87177658081055,455976000,0.0,0.0
2023-07-28 00:00:00-04:00,46.63929451694762,46.998074860661916,46.35247229657418,46.72124481201172,331194000,0.0,0.0
2023-07-31 00:00:00-04:00,46.72525012817934,47.10101835706819,46.47740153843721,46.70026397705078,251055000,0.0,0.0
2023-08-01 00:00:00-04:00,46.431425390722836,46.87115722310503,45.99869303507332,46.478397369384766,237858000,0.0,0.0
2023-08-02 00:00:00-04:00,45.802815155111105,45.8118084916432,43.360317974364946,44.24177551269531,530142000,0.0,0.0
2023-08-03 00:00:00-04:00,43.77306465511117,45.090254950828495,43.77306465511117,44.48762512207031,324176000,0.0,0.0
2023-08-04 00:00:00-04:00,44.95733577714755,45.613929417998236,44.36570079021175,44.652523040771484,362666000,0.0,0.0
2023-08-07 00:00:00-04:00,45.083260824874436,45.511997882155306,44.53559746044546,45.38907241821289,322154000,0.0,0.0
2023-08-08 00:00:00-04:00,44.825410935135174,45.21417159481673,44.02890029647622,44.63652801513672,353843000,0.0,0.0
2023-08-09 00:00:00-04:00,44.24676774624943,44.28474638744964,42.108084553153404,42.527828216552734,586449000,0.0,0.0
2023-08-10 00:00:00-04:00,42.134070432183805,43.54720225207386,41.80926955254042,42.36193084716797,492705000,0.0,0.0
2023-08-11 00:00:00-04:00,41.72532096506458,41.99215885411626,40.61400537621823,40.829872131347656,533085000,0.0,0.0
2023-08-14 00:00:00-04:00,40.46110044875355,43.77306145616608,40.28620883934567,43.72608947753906,690286000,0.0,0.0
2023-08-15 00:00:00-04:00,44.53260062164396,45.2401654426178,43.683121014623126,43.91297912597656,676512000,0.0,0.0
2023-08-16 00:00:00-04:00,44.49261968234225,44.64752313399485,43.37930259032958,43.45925521850586,527451000,0.0,0.0
